age_window,drip_DET_med,drip_DET_p5,drip_DET_p95,drip_TRANS_med,drip_TRANS_p5,drip_TRANS_p95,d18O_DET_med,d18O_DET_p5,d18O_DET_p95,d18O_TRANS_med,d18O_TRANS_p5,d18O_TRANS_p95
7468.5,0.7312717071867486,0.646562977933144,0.8124560522350577,0.38598352353900367,0.3120470144131778,0.46971018775500467,0.722488038277512,0.6597884169050575,0.7845038745880466,0.37257445479158613,0.3026087454212454,0.4598921700465875
7473.5,0.7321765645418905,0.6427531206657421,0.8182083997873472,0.38456533707021673,0.30558549618320613,0.46467601773553846,0.7237138071308926,0.6583966039090956,0.7860865575037433,0.3743822406750151,0.2970137495511859,0.45389431690595056
7478.5,0.7326460481099656,0.6562417328042328,0.8073642418032786,0.3818913307282099,0.3050793292121956,0.4690055179273433,0.7263291517323776,0.6598932440211418,0.7932157177225341,0.3712947985890515,0.2994154676258993,0.4490513578845202
7483.5,0.7351470588235294,0.6576705429646605,0.801181068297185,0.3787412694171978,0.2989719265971849,0.4610444683521606,0.7286073223259153,0.6717061923583663,0.7845016680567138,0.3713580019419265,0.2921237183868763,0.4669174990200981
7488.5,0.7265987137483315,0.6449623306495942,0.8081529581529581,0.375,0.31361699903222723,0.46240691875772305,0.7279639502411779,0.6681464174454829,0.781270570225794,0.36691701954796285,0.2974315353824954,0.45111967497106553
7493.5,0.7303873162168093,0.6379486352890609,0.8021200117370892,0.3774141729579929,0.3090176696799709,0.45316634703130504,0.7333333333333333,0.6682881870293358,0.7904872646733111,0.3662437951918285,0.291131461558646,0.4537643177521589
7498.5,0.727510709186102,0.6435790273556231,0.8013200128390305,0.36959918056532715,0.301603999101919,0.45356965946973477,0.72499793371353,0.6731485587583149,0.7867873043228494,0.3638689750343912,0.2980379953076121,0.45793226381461666
7503.5,0.7268439108061749,0.653434566254553,0.8119101342693186,0.36598071968542834,0.2906190605484659,0.4465708414814521,0.7251184834123223,0.6730073407530193,0.7837964725288669,0.36293542074363994,0.29279078248838225,0.45851464952988474
7508.5,0.7265805260729119,0.6533901184236071,0.7978723404255319,0.36753648883173307,0.2847465437788019,0.44747523064220834,0.7235023041474654,0.6601742816768723,0.7991852487135505,0.3631854665768029,0.29632757995441045,0.45096421875332887
7513.5,0.7296607832322117,0.6563397435897436,0.8000537634408602,0.36274419597828556,0.28319158501654634,0.44524137041327916,0.7226134585289514,0.6553030303030303,0.7905988455988455,0.35988002368631083,0.2944116206779084,0.46196814755184357
7518.5,0.7318330399798842,0.6582850476874167,0.8044958100558659,0.35843719410209574,0.2798006284240214,0.4274285714285714,0.7268292682926829,0.6616766536603493,0.7924578482537135,0.3618737537947511,0.2966097300452719,0.4620072382280931
7523.5,0.7265305534757818,0.6665064102564102,0.8053717948717948,0.35897754089358186,0.2831498388829216,0.42682534755751744,0.725,0.6619495392521709,0.7886875884374368,0.35835878764539586,0.2965593708113222,0.4541299021613982
7528.5,0.7261517096063594,0.6614409722222223,0.8051145833333333,0.3574252011949913,0.27761971473500474,0.42067124398965217,0.7268439108061749,0.6620039682539683,0.7947500000000001,0.35434685392443616,0.29562513305556404,0.4604311493453829
7533.5,0.7231372906875941,0.6632425412084577,0.7989673913043478,0.35835333739385905,0.2843914445764726,0.4306103637054434,0.7244683732899906,0.6629726055507106,0.7916772419627749,0.3568030810676205,0.29250249797039907,0.4683429638342335
7538.5,0.7239737274220033,0.6501859132247063,0.7990452261306533,0.3591118443665361,0.28021249455541036,0.4398791179435787,0.7290180010128446,0.6664991624790619,0.7973697568795082,0.35574872610451336,0.29182194616977225,0.47176765771527013
7543.5,0.7186398316232571,0.6614680458430459,0.7937091395726382,0.3551316046452233,0.2806372934697089,0.430796264438437,0.7272873120645398,0.6682892637337589,0.7963853276353275,0.3652712343518643,0.2991248004877347,0.45653312997648865
7548.5,0.7231528328547336,0.6583827500397099,0.7931389975115535,0.35262593853962576,0.2875481222237179,0.4427266111339786,0.7346455169745624,0.6665845648604269,0.7954828132066938,0.36343554943852185,0.29177018633540375,0.44910927551827295
7553.5,0.7276916631755341,0.6600885199169813,0.7893471096463881,0.35805626598465473,0.2864836499563198,0.4378935708577827,0.7296022603781787,0.6632536111768885,0.8000943396226415,0.3691311447716651,0.29160622508285705,0.45241581762608246
7558.5,0.7281329694420831,0.6548480392156864,0.7935898042182918,0.3560433024030455,0.2950662608753184,0.44238234867480364,0.7355227064919232,0.6666666666666666,0.8018083300691996,0.36924153592367515,0.2912603228228228,0.46787211740041923
7563.5,0.7248188405797101,0.6547896825396826,0.7799867608120035,0.3571804907421346,0.28869452487015707,0.4380626164199065,0.7369777536625068,0.6536460643015521,0.7968249098857273,0.3730085733079144,0.295696728569236,0.46681729821690604
7568.5,0.7242184982275217,0.6618192325473878,0.791499694993196,0.36101065882841954,0.2907433594280284,0.4386314488724127,0.7367137355584081,0.664939228160507,0.8085373676895113,0.3782484854743219,0.3028783696094498,0.4729668349912034
7573.5,0.7274977497749775,0.6617714842884369,0.789053479525621,0.36136771701280934,0.28981133604951154,0.4395954294089941,0.7376643402045122,0.6602792826452456,0.8110230099502487,0.38158742949234487,0.31408316758030375,0.4934972872944441
7578.5,0.7246376811594203,0.6595460403461245,0.7871811442227967,0.35976473433289574,0.28804896106220607,0.436554263954304,0.739717104038712,0.6631707317073171,0.808515728392548,0.3847805471023775,0.3140538432233369,0.5016081704730201
7583.5,0.7237138071308926,0.6662826420890937,0.7835606661379857,0.35617121848739497,0.29119406230253214,0.43262986806042447,0.7400902668759812,0.664986498649865,0.8081406852025408,0.3843334619113645,0.31022087967700107,0.4836313347997473
7588.5,0.7239737274220033,0.6649668482121714,0.7854695416519383,0.35882135826771655,0.29168850341823155,0.43321297536544173,0.7428571428571429,0.6683940886699508,0.8056614509246087,0.3856785118053899,0.3088003980810452,0.47682984144046053
