age,pc05,pc10,pc25,pc50,pc75,pc90,pc95
5155,6.755870618011512,7.140461646296178,8.503980846114397,11.631248183635964,17.009070914380523,20.683150142492217,22.09800999641878
5156,6.754094199793798,7.136644179986033,8.491659497595926,11.603975275144023,16.98874132454854,20.662016872887914,22.08430527213798
5157,6.752371872197267,7.132942952702263,8.479746770706008,11.577506404208552,16.969581888878757,20.64138486133735,22.070821955343416
5158,6.750702805243883,7.129356180848435,8.468202428725593,11.551713406771391,16.951555712962463,20.621292383716423,22.057573587843343
5159,6.749095757114201,7.125882161594897,8.457020990947054,11.526728353006291,16.93474343861749,20.601716938661347,22.0445946467042
5160,6.747547226388172,7.122519270781554,8.446230343093715,11.502403133754475,16.919079769467608,20.58275480928868,22.03190621410348
5161,6.7460491550949016,7.119265960979433,8.435850456640646,11.478871883971012,16.904563742801685,20.564365846318616,22.019493262634303
5162,6.744600865190938,7.116120759704939,8.425815497141858,11.456006035216264,16.891244328922504,20.54658210806296,22.00736985614237
5163,6.743201712388856,7.113082267781275,8.416121000437107,11.433902256605853,16.879101721745766,20.52947024800864,21.99556721073592
5164,6.741851085468136,7.1101491578418985,8.406762731481214,11.412490956913604,16.868119934317328,20.5129958233561,21.98410952824345
5165,6.740548405649336,7.107320172971441,8.397756484603857,11.391791824135169,16.858304855811948,20.49719390198806,21.972982771529388
5166,6.739293126029633,7.104594125479894,8.389134967517654,11.371833728216307,16.849663798347862,20.48212626871447,21.96220118347118
5167,6.738084731078001,7.101969895806288,8.380835463917938,11.35253705266752,16.842235119133495,20.46776225345297,21.951779008066534
5168,6.736922736188493,7.099451986456465,8.37285464543197,11.334016935686442,16.83598371011572,20.454123629192527,21.94176223540409
5169,6.735806687290253,7.097052622539476,8.365189393408288,11.316182544873232,16.830914462041594,20.44126740155672,21.932138615788617
5170,6.734736160513097,7.094751125422878,8.35783679661979,11.299029750833594,16.827031982693445,20.429191907007603,21.92291536381609
5171,6.733710761907624,7.092546648165309,8.350794149341448,11.282664746585178,16.824340584852415,20.417899972223093,21.91410643258406
5172,6.732730127219022,7.090438407665013,8.344111191007402,11.266984313102624,16.822844276391617,20.40741056466779,21.90572565433688
5173,6.731793921713869,7.088425684287485,8.337737681299993,11.25199630220053,16.822546752519834,20.397751151613377,21.897795235128218
5174,6.730901840059402,7.086507821605919,8.331664558408434,11.237793365160233,16.823451390189966,20.388956842984232,21.89034045743918
5175,6.730053606254863,7.084684226253607,8.325889943371854,11.224308860550051,16.82556124468201,20.381013803757902,21.883352547108192
5176,6.729248973614699,7.082954367887826,8.32041215680175,11.21153838111145,16.82887904836461,20.37393773802401,21.87684454866852
5177,6.728487724803536,7.081317779265017,8.315229719120065,11.199495228623633,16.833407211633077,20.367743485191088,21.870829259255213
5178,6.727769671922983,7.0797740564274205,8.310341351150166,11.188260623353171,16.839147826016795,20.362444994699693,21.865319203015183
5179,6.727094656650492,7.078322859001585,8.305745975062127,11.17776591516535,16.846102669442214,20.35805530182101,21.86032660555068
5180,6.726462550430618,7.076963910609573,8.301442715674838,11.168022448906544,16.854294034048536,20.354586504582084,21.85586336843625
5181,6.725873254719197,7.075696999393897,8.297453604537724,11.159042134002826,16.86372719244569,20.352049741856657,21.85194104384665
5182,6.72532670128108,7.074521978657627,8.293765652262923,11.150837460252465,16.874384049911725,20.350455172661874,21.84857632212399
5183,6.72482285254225,7.073438767621374,8.290365856427897,11.143466980934706,16.886265227946513,20.349812672569776,21.845779784386835
5184,6.724361701997227,7.072447352299183,8.287254173135949,11.136899174701329,16.89937109100009,20.350128236183583,21.84355425695418
5185,6.723943274672909,7.07154778649572,8.28443077125987,11.13114249219991,16.913768349477277,20.35141111898952,21.841909605978675
5186,6.72356762765008,7.070740192927442,8.2818960359609,11.126211823348251,16.929399331472112,20.353666663173787,21.840855226113803
5187,6.723234850643994,7.070024764470799,8.279650572606348,11.122122731407517,16.946260686417535,20.35689986289896,21.840400016649166
5188,6.722945066645639,7.069401765540849,8.27769521109656,11.118891476466205,16.96442150807882,20.36111463581223,21.840552357998572
5189,6.722698432625385,7.06887153360403,8.27603101061294,11.116535040428287,16.983835694878074,20.366313811921568,21.841320088574182
5190,6.722495140300967,7.06843448082921,8.274659264799991,11.115071153574227,17.00450605398483,20.372499124017267,21.842710482081166
5191,6.722335416971853,7.068091095881488,8.273581507395384,11.114518322767566,17.026494172510397,20.37967119968843,21.844730225267316
5192,6.722219526422303,7.067841945863645,8.272799518323438,11.11489586138443,17.049720990067993,20.38782955498676,21.84738539616485
5193,6.722147769895555,7.067687678410527,8.272315330268631,11.116223921047904,17.074302184575355,20.39697258979204,21.850684081566506
5194,6.7221204871418,7.067629023942054,8.27213123574693,11.11852352525376,17.100128103913107,20.40712678471142,21.85464106480609
5195,6.7221380575428125,7.067666798081039,8.272249794694442,11.121816604979818,17.127325443855813,20.41827557346756,21.859250364357887
5196,6.7222009013163,7.067801904242383,8.272673842593926,11.126126036375856,17.155797429964345,20.430401518631687,21.86451543034697
5197,6.72230948080327,7.068035336400753,8.273406499161508,11.13147568063701,17.1856303953748,20.443498516820835,21.87043900145674
5198,6.72246430184195,7.068368182044329,8.274451177617383,11.137890426169688,17.21679494178814,20.457590366844453,21.87702308695432
5199,6.72266591523201,7.068801625322717,8.275811594565939,11.145396233164773,17.24928541748946,20.47266830455768,21.88426894954281
5200,6.722914918293141,7.069336950397665,8.27749178051243,11.154048158894982,17.28319053919789,20.48869617175233,21.892177089103917
5201,6.723211956522259,7.069975545005874,8.279496091045273,11.163886490732835,17.3184495524033,20.50568657806033,21.900750114949812
5202,6.723557725353929,7.070718904243662,8.281829218714744,11.174908863063775,17.35508208640925,20.52365473571109,21.910016853458195
5203,6.723952972028867,7.0715686345840165,8.284496205640973,11.187146235475048,17.39314071306282,20.542541584008305,21.91994519071772
5204,6.72439849757571,7.072526458137162,8.287502456886283,11.200635286244356,17.43263061180586,20.562383721017486,21.930532422631785
5205,6.724895158911577,7.073594217166467,8.290853754628964,11.215503348956284,17.47354886090823,20.58314997675572,21.94177501370043
5206,6.72544387106725,7.074773878872339,8.294556273178108,11.23169673559904,17.514157679609973,20.60481346048139,21.95368273559764
5207,6.726045609543249,7.076067540457466,8.298616594871525,11.249252426131047,17.55270696961836,20.62740993687301,21.96627042557468
5208,6.726701412803367,7.077477434487607,8.303068845454112,11.26833479306566,17.58839203554842,20.65085613670753,21.97950026060988
5209,6.727412384912721,7.079005934563061,8.307909008875203,11.2888734976271,17.622516667858513,20.675225019535507,21.99336527447309
5210,6.728179698327761,7.080655561316847,8.313132733231088,11.31098080353561,17.6561867695871,20.700405263655888,22.00788787673285
5211,6.729004596846146,7.082428988756552,8.318748486060588,11.334713082923248,17.690462148891115,20.726415030214252,22.0230570429244
5212,6.7298883987249045,7.084329050967988,8.32476524180779,11.360109169998884,17.725474401410995,20.75318460013016,22.038837636551225
5213,6.730832499975771,7.086358749199748,8.33119250425611,11.38726495214171,17.761196498049134,20.78059666902006,22.055239236451527
5214,6.73183837784717,7.088521259349025,8.33804033023293,11.416236968362606,17.797641282504312,20.808728219378544,22.07227560611409
5215,6.732907594502878,7.090819939870279,8.345319354653288,11.447067580964042,17.834849230423288,20.8375275274096,22.08989164349796
5216,6.7340418009080105,7.09325834012961,8.353067792881292,11.479928395177472,17.872771419665924,20.86700844476861,22.10810522348009
5217,6.735242740933631,7.095840209229154,8.361316094524915,11.514808542414912,17.91141128519562,20.89718121392248,22.12691235230463
5218,6.736512255691979,7.098569505327263,8.370035381453889,11.551811882889035,17.950772845787803,20.92805922547974,22.14625949817008
5219,6.737852288115019,7.101465107433864,8.379238998122213,11.591106954290442,17.99090257090168,20.959681309074625,22.166192779674816
5220,6.739264887789836,7.104532801467651,8.388941021513052,11.632743716938284,18.03176391578381,20.992075888100185,22.186650366758503
5221,6.7407522160651725,7.107762781027943,8.399156296211485,11.676828560725172,18.073359321215133,21.02522928675376,22.20762976655167
5222,6.742316551444348,7.111159994261875,8.409987867696383,11.723485659634036,18.115695493422304,21.059084205034893,22.22913679920601
5223,6.743960295280665,7.114729656105667,8.421377094935133,11.772845121367125,18.15877989125591,21.09364637069925,22.251105974818348
5224,6.745685977792469,7.118477261347301,8.433334061607573,11.825043309695747,18.202620758942118,21.128903564961583,22.27359485250916
5225,6.747496264416029,7.122408598422864,8.44587723607761,11.880223185603084,18.247239696650585,21.164798308061822,22.29650381234509
5226,6.749393962515562,7.12652976398849,8.459105356444397,11.93853466835452,18.29264234293962,21.20130812895301,22.31988744528497
5227,6.751396625396428,7.130847178312449,8.473001335742259,12.000135900315613,18.33882759189119,21.23845574058548,22.343663828725216
5228,6.753500157297281,7.135367601534723,8.48755071710825,12.06528817861144,18.38580712769895,21.276172865808338,22.367865271874106
5229,6.755701469186005,7.140098150844299,8.502800677135621,12.134090355897357,18.43359045435104,21.314428936397107,22.392427122033737
5230,6.758004047566662,7.145046318627638,8.518866006397626,12.206768517873687,18.482186750696545,21.35319787888971,22.417280307061432
