age,pc05,pc10,pc25,pc50,pc75,pc90,pc95
9258,14.917144714201402,15.108961768211758,15.623232806057569,16.29653064775415,16.95680417575556,17.359022470408625,17.496827601877204
9259,14.917441192226688,15.108702407913999,15.621745979417163,16.294601912117912,16.95594233550105,17.358663275764243,17.496646171644706
9260,14.91769338705696,15.10837709533924,15.62015907066292,16.29253752561527,16.95501959493223,17.35827873379243,17.49645194463168
9261,14.91790160388955,15.10798584675367,15.618470999682463,16.290331209245455,16.954033318848424,17.357867730188968,17.49624435511916
9262,14.918066160696686,15.10752871754689,15.616680793734101,16.287976313912758,16.952980740240495,17.357429103697612,17.4960228151003
9263,14.918187387001005,15.107005799413695,15.614787591004218,16.285465785530228,16.95185894608453,17.35696163756281,17.495786709504888
9264,14.918265622178613,15.106417216556629,15.612790643287418,16.282792125940222,16.950664860612672,17.356464048516933,17.495535389903576
9265,14.918301213879314,15.105763122114906,15.610689319905957,16.279947353437464,16.949398355247787,17.355934980838388,17.495268171426787
9266,14.91829451614811,15.105043693977963,15.608483111327915,16.27692295970833,16.94805670652059,17.35537299995239,17.494984329436754
9267,14.918245887324687,15.104259130143282,15.606171632699962,16.273709863275258,16.94663285367606,17.354776586258314,17.49468309638386
9268,14.918155687710847,15.10340964360517,15.60375462718379,16.27029835887435,16.945122950814287,17.35414412869396,17.494363658540706
9269,14.918024277045317,15.102495456854836,15.601231969119006,16.266678062402477,16.943522917512947,17.353473918017286,17.494025152601964
9270,14.917852011815869,15.101516796066786,15.598611443148446,16.262837850993034,16.941828422048236,17.352764139749464,17.493666662114816
9271,14.917639242469495,15.100473885088116,15.59589286697609,16.258765797759068,16.940034863798115,17.352012866794297,17.49328721374947
9272,14.917386310563385,15.099370570487062,15.593069663448942,16.254449100635146,16.93813735480639,17.35121805170778,17.49288577339321
9273,14.917093545922613,15.098206506304793,15.590142257674195,16.24987468080051,16.93613070051278,17.35037751862281,17.492461242071098
9274,14.916761263863656,15.096979153859397,15.587111218589973,16.245052410343327,16.93400937964355,17.349491538389408,17.492012451690087
9275,14.916378917113574,15.095676086482609,15.58396992410463,16.239937330856105,16.931764895837272,17.348556137881488,17.491537604743474
9276,14.915971427133297,15.094325991692891,15.580735908786068,16.23452424754736,16.92939695985892,17.347569288029288,17.491036640039308
9277,14.915524432365848,15.092912030565621,15.577400295637357,16.22878775675078,16.926895431188857,17.346526762716856,17.490507412230905
9278,14.915038397804175,15.091434515333958,15.573964404648443,16.222708093029873,16.92425331565767,17.34542564708666,17.489948441619177
9279,14.91451369753463,15.089893641001488,15.570429663242495,16.21626386073695,16.921463164545745,17.34426283684514,17.48935815233973
9280,14.91395063085156,15.08828950296674,15.566797618395881,16.209431887559187,16.918517052998123,17.343035029266908,17.488734867796193
9281,14.913349438447968,15.08662211478617,15.56306994752982,16.202187059837936,16.915406557525266,17.34173871381805,17.48807680590025
9282,14.913289748185756,15.08607059416695,15.561272330567858,16.19793076743046,16.913551589522086,17.340965646086353,17.48768436560521
9283,14.913444285007822,15.085968497625169,15.560246247328527,16.194861159702178,16.912189295404545,17.340397902803712,17.487396156264413
9284,14.913571701414837,15.085824271723213,15.55914589187988,16.191568470193246,16.910730024883726,17.339789744091835,17.487087430425102
9285,14.913671676729457,15.085637091922882,15.55797101235594,16.188043769044583,16.909170401735746,17.33913976289155,17.486757473807405
9286,14.913744544525144,15.085406943713728,15.556722112862154,16.184278619714703,16.907507362170577,17.33844668235214,17.48640563823051
9287,14.913643402689091,15.084991833687626,15.555320266595219,16.180199865211847,16.905705710086103,17.337695834311788,17.48602447754512
9288,14.913370898058137,15.08439400808849,15.553768889753295,16.175799508354913,16.903762821434828,17.336886125184822,17.485613436603117
9289,14.913079962048371,15.083760619061538,15.552152449988622,16.171136799723552,16.901709546891805,17.336030412153324,17.485179042227614
9290,14.912770852803096,15.083091846318519,15.550472860544561,16.166204583763623,16.899546097382864,17.335127798509443,17.484720839213608
