depth,pc05,pc10,pc25,pc50,pc75,pc90,pc95,censored,drip_upper_bound,pc50_for_continuity
135.34,15.037547392259771,15.711198466334166,16.961127996102448,18.5682438836435,20.46394735087634,22.485253638995047,23.87228759341385,0,,18.5682438836435
135.97,14.012197403818147,14.606219884518936,15.701421569832236,17.09665153192249,18.724000722424105,20.43773347831109,21.60123660936213,0,,17.09665153192249
136.6,14.808319875501889,15.465018205277351,16.682117340540817,18.2442670354813,20.08298238427799,22.03887821481105,23.378250311636982,0,,18.2442670354813
137.23,15.095219757346916,15.773585775379969,17.032746673315582,18.65260533957661,20.564533929686124,22.604631502364995,24.0055408091976,0,,18.65260533957661
137.86,14.587450407208728,15.226505621051526,16.409070519389736,17.92375019501094,19.70200583318701,21.58827827760163,22.87716124499648,0,,17.92375019501094
138.49,13.187720347432736,13.722598998042924,14.70414453779446,15.945884660956136,17.38206938809358,18.88057870276153,19.89040212870114,0,,15.945884660956136
139.12,13.152148666233176,13.683137247521543,14.657031828443715,15.888270800033052,17.311109768518016,18.794392533425885,19.79282353375776,0,,15.888270800033052
139.75,15.51032828196663,16.21960867587817,17.53866551566467,19.240788815199817,21.257331498814388,23.41788526742621,24.907606016058367,0,,19.240788815199817
140.3,14.210862088946762,14.821760802641904,15.949807528122635,17.390168450573288,19.074870202880128,20.854325125710645,22.065712676878977,0,,17.390168450573288
140.8,10.361193121432295,10.71495582748448,11.353597542071158,12.142499777694574,13.029522326865507,13.927453976597004,14.516901450479486,0,,12.142499777694574
141.3,14.03742986181078,14.63332783865639,15.732276874199597,17.13262405231054,18.7663859604728,20.48741915739632,21.656139312256805,0,,17.13262405231054
141.8,13.278463299534184,13.820029351147506,14.814347141557722,16.07333194650669,17.531025655903953,19.05375299456465,20.080638093105343,0,,16.07333194650669
142.3,12.515105970945346,13.000667847739177,13.887602341348709,15.002281020069384,16.28131244980236,17.60449526768105,18.489453496664257,0,,15.002281020069384
142.8,17.676220975908034,18.570636177556256,20.255574370194424,22.471672391925715,25.160135211498947,28.119127870048164,30.20736481831708,0,,22.471672391925715
143.3,14.02434991439214,14.616395958932673,15.707418358492475,17.096436443131687,18.71512548058853,20.41821964675888,21.573786549749958,0,,17.096436443131687
143.8,17.485786589883315,18.3625465728747,20.012188910499933,22.178106131586414,24.799546157639373,27.677144636883124,29.70390053086017,0,,22.178106131586414
144.3,12.678179779661548,13.177570961638148,14.091203109121412,15.241940341378674,16.56596156833366,17.93957874087399,18.860392251150262,0,,15.241940341378674
144.8,14.16462359779284,14.770431999897136,15.888437436492596,17.31469628231407,18.98111223594034,20.739250732888085,21.935527169775323,0,,17.31469628231407
145.34,16.50091106488869,17.2931749310287,18.775525287601575,20.70549778699696,23.01722108665784,25.524987328308804,27.272462856269456,0,,20.70549778699696
145.9,13.987100039735914,14.579217924936088,15.670671123777442,17.060828078265057,18.68179822909476,20.388269521066757,21.546659418368183,0,,17.060828078265057
146.46,14.03742986181078,14.63332783865639,15.732276874199597,17.13262405231054,18.7663859604728,20.48741915739632,21.656139312256805,0,,17.13262405231054
147.02,17.637781956277937,18.52866644209157,20.206452097871523,22.41234482213491,25.087229047939296,28.02972841605618,30.105334350911864,0,,22.41234482213491
147.58,15.390305313229849,16.089557814712627,17.389109508167472,19.064082914958387,21.04574764740712,23.16573777773839,24.624937473089904,0,,19.064082914958387
148.14,16.270878178350976,17.045024977975775,18.491804410783853,20.372137997732946,22.619659918867395,25.052069196565608,26.74300333675406,0,,20.372137997732946
148.7,16.2334564773158,17.002348941948323,18.43855636609061,20.303672527323087,22.53070283671583,24.9380969618256,26.610193603657056,0,,20.303672527323087
149.26,16.91871819582271,17.748165902217597,19.30425082967568,21.338238647071787,23.786648875254105,26.45771044832362,28.32775496748629,0,,21.338238647071787
149.82,13.900801174982757,14.483373403035127,15.556236938034688,16.920431966637324,18.50817424061542,20.176002569596,21.30629661502491,0,,16.920431966637324
150.38,15.330935736581644,16.025317744680848,17.31523419896358,18.976943012764085,20.94148128134236,23.041643066650995,24.486259418682536,0,,18.976943012764085
150.88,15.54067673028057,16.25238606726546,17.5764292111655,19.285485317474173,21.31091792147132,23.48186259500581,24.97912016272137,0,,19.285485317474173
151.34,15.098060065458874,15.773283740368074,17.02588142723861,18.63592827431728,20.534350693742947,22.55770845294028,23.945902029492427,0,,18.63592827431728
151.8,19.19895117131066,20.23811797096703,22.214077269493885,24.84989577506062,28.10506755030919,31.76259874464157,34.39214066908821,0,,24.84989577506062
152.26,19.2207841015222,20.259409201845692,22.233893234723727,24.86673132513029,28.116755059660008,31.76643638559317,34.38917703575023,0,,24.86673132513029
152.72,13.644926404343924,14.2110177367374,15.252349136870682,16.574331888593456,18.10988595606389,19.7194828571004,20.808408774508536,0,,16.574331888593456
153.18,15.390283287177116,16.091290726724267,17.39449006152441,19.074925559258965,21.06409429739404,23.193420892769502,24.65975565578135,0,,19.074925559258965
153.64,14.170107849813853,14.77484032261167,15.890603982691054,17.313498931890535,18.97532422245441,20.727773358385672,21.919539633522295,0,,17.313498931890535
154.1,13.67803919025492,14.249404337260478,15.301264699753595,16.63807638058482,18.192785372653667,19.824867814687007,20.93071574243637,0,,16.63807638058482
154.56,16.196544096330143,16.960335503125346,18.38614347157331,20.236334692891983,22.443230583742164,24.82615421952314,26.479811923362483,0,,20.236334692891983
155.02,17.2726851482843,18.13214346121209,19.747534058330658,21.86511332868013,24.423338079799063,27.225600131096087,29.19472106157022,0,,21.86511332868013
155.74,4.678280133966768,4.778269306474806,4.954577176877277,5.162680065918395,5.384128029629779,5.597073088631379,5.7307325251561965,0,,5.162680065918395
156.38,4.420745003603858,4.512172902996019,4.672101211511663,4.860235108001208,5.061341574004349,5.252769751875869,5.373052340062866,0,,4.860235108001208
157.01,2.615084101620748,2.6564386792737285,2.727385015655432,2.809752709781366,2.8966769452512984,2.977144894238951,3.0282568916982133,0,,2.809752709781366
157.48,16.204791274198616,16.973098800526877,18.408481305566998,20.272923287208343,22.499729478608785,24.907541132394403,26.58025857104996,0,,20.272923287208343
157.9,15.212765656790726,15.89913434297136,17.173558466374814,18.814189440200785,20.75225983571428,22.82200774600693,24.245202815919,0,,18.814189440200785
158.33,12.472070604149389,12.956974565787416,13.842895425400924,14.9565419537388,16.234935548015137,17.557929139667674,18.443035114024145,0,,14.9565419537388
158.75,13.67803919025492,14.249404337260478,15.301264699753595,16.63807638058482,18.192785372653667,19.824867814687007,20.93071574243637,0,,16.63807638058482
159.18,13.869626853243457,14.451323904894132,15.522545170557647,16.884793785183778,18.470401717411026,20.13624508675785,21.265266991358164,0,,16.884793785183778
159.6,15.03923610988194,15.711334910899147,16.958037723863946,18.56036048877218,20.44938338677998,22.462429657151304,23.843286749222106,0,,18.56036048877218
160.03,17.18930072625461,18.03896775888046,19.634575264178004,21.72358761632357,24.243091954064287,26.99783509727212,28.930846350721144,0,,21.72358761632357
160.46,16.777176593703118,17.593861683695454,19.12476100122861,21.123160399127663,23.52465411398548,26.139267395772382,27.96768460402579,0,,21.123160399127663
160.96,16.106477399455734,16.86631857438051,18.28493669605523,20.12583587505022,22.3219482025292,24.693310720407457,26.339660328464525,0,,20.12583587505022
161.46,15.631028386560557,16.348606619669482,17.683776516327008,19.40785433181933,21.45208938084433,23.64457691727245,25.157027018186376,0,,19.40785433181933
161.96,17.13549050998465,17.984500070798333,19.57963031377212,21.669006106463165,24.190616344578476,26.94937990184768,28.886719278996576,0,,21.669006106463165
